music,M1,M2,M3,mean,std,relevant
MT0033841575.mp3,5,5,5,5.0,0.0,True
MT0027002641.mp3,3,2,3,2.6666666666666665,0.5773502691896258,True
MT0030487841.mp3,5,4,4,4.333333333333333,0.5773502691896258,True
MT0008575372.mp3,2,2,1,1.6666666666666667,0.5773502691896258,False
MT0014576739.mp3,3,2,2,2.3333333333333335,0.5773502691896258,False
MT0030422114.mp3,3,1,1,1.6666666666666667,1.1547005383792515,False
MT0003390733.mp3,3,3,1,2.3333333333333335,1.1547005383792517,False
MT0027835071.mp3,2,2,1,1.6666666666666667,0.5773502691896258,False
MT0011145388.mp3,2,3,2,2.3333333333333335,0.5773502691896258,False
MT0009188643.mp3,4,2,3,3.0,1.0,True
MT0010617945.mp3,2,2,3,2.3333333333333335,0.5773502691896258,False
MT0009213083.mp3,3,1,3,2.3333333333333335,1.1547005383792517,False
MT0005331755.mp3,4,3,2,3.0,1.0,True
MT0002233402.mp3,4,3,4,3.6666666666666665,0.5773502691896258,True
MT0026727455.mp3,1,1,1,1.0,0.0,False
MT0005265641.mp3,2,3,2,2.3333333333333335,0.5773502691896258,False
MT0010344415.mp3,2,3,2,2.3333333333333335,0.5773502691896258,False
MT0000711493.mp3,5,4,4,4.333333333333333,0.5773502691896258,True
MT0018029465.mp3,4,2,2,2.6666666666666665,1.1547005383792515,True
MT0005469880.mp3,3,1,1,1.6666666666666667,1.1547005383792515,False
