music,T1,T2,T3,mean,std,relevant
MT0003900455.mp3,1,1,2,1.3333333333333333,0.5773502691896257,False
MT0009897495.mp3,2,1,1,1.3333333333333333,0.5773502691896257,False
MT0000203193.mp3,1,2,1,1.3333333333333333,0.5773502691896257,False
MT0000901959.mp3,1,1,1,1.0,0.0,False
MT0009521580.mp3,1,1,1,1.0,0.0,False
MT0013955066.mp3,2,3,2,2.3333333333333335,0.5773502691896258,False
MT0000888329.mp3,3,2,2,2.3333333333333335,0.5773502691896258,False
MT0004428604.mp3,1,1,1,1.0,0.0,False
MT0018651126.mp3,1,1,1,1.0,0.0,False
MT0009346128.mp3,1,1,1,1.0,0.0,False
MT0002379222.mp3,1,1,1,1.0,0.0,False
MT0034186195.mp3,2,1,1,1.3333333333333333,0.5773502691896257,False
MT0017667847.mp3,1,1,1,1.0,0.0,False
MT0000218346.mp3,1,1,1,1.0,0.0,False
MT0000040632.mp3,4,4,3,3.6666666666666665,0.5773502691896258,True
MT0002634024.mp3,2,2,1,1.6666666666666667,0.5773502691896257,False
MT0012331779.mp3,5,5,5,5.0,0.0,True
MT0001703346.mp3,1,1,1,1.0,0.0,False
MT0027835071.mp3,2,1,1,1.3333333333333333,0.5773502691896257,False
MT0009991160.mp3,2,1,1,1.3333333333333333,0.5773502691896257,False
